metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches
def_gap_mean,6.368004283911429e-07,8.409543998965566e-08,7.572353845457898,3.6637359812630166e-14,474,defense,hold,opp,A,"Very strong (p≤0.001, |z|≥3.29)",2.2273621374869277e-06,0.16933905354732087,0.13539803794278682,0.47785887806704674,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908615,-9523.833310512311,237
def_linegap_mean,0.00017013334733492674,2.654617801489572e-05,6.408958277890726,1.4651724278280653e-10,474,defense,hold,opp,A,"Very strong (p≤0.001, |z|≥3.29)",2.2273621374869277e-06,0.16933905354732087,0.13539803794278682,0.47785887806704674,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908615,-9523.833310512311,237
shot_blocked_def,7.734626883089125e-05,3.346766627247782e-05,2.311074462174169,0.02082874230249221,468,defense,hold,opp,C,"Significant (p≤0.05, |z|≥1.96)",2.2273621374869277e-06,0.16933905354732087,0.13539803794278682,0.47785887806704674,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908615,-9523.833310512311,237
def_linegap_std,-5.3274069955106214e-05,3.394008355669049e-05,-1.569650524463853,0.1164964373398667,474,defense,hold,opp,D,Not significant,2.2273621374869277e-06,0.16933905354732087,0.13539803794278682,0.47785887806704674,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908615,-9523.833310512311,237
shot_saved_def,1.7886112074291733e-05,3.6427928402815565e-05,0.4909999788214498,0.623426462530545,472,defense,hold,opp,D,Not significant,2.2273621374869277e-06,0.16933905354732087,0.13539803794278682,0.47785887806704674,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908615,-9523.833310512311,237
def_gain_dist,0.00019189176550248315,1.0179707630324186e-07,1885.0420117259507,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064292,0.16974539354008317,0.13563459990101087,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237
def_suc_pos_line_box,-5.867987585267513e-05,5.909534625354578e-07,-99.29694903708983,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064292,0.16974539354008317,0.13563459990101087,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237
def_miss_pos_line,0.00044265911731343694,2.5834336039276944e-05,17.13452657116657,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064292,0.16974539354008317,0.13563459990101087,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237
def_suc,1.0332183163276083e-06,8.348125512469806e-08,12.376650480209767,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064292,0.16974539354008317,0.13563459990101087,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237
seq_def_num,-0.0008532818221292961,7.4345859179523e-05,-11.477193639915786,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064292,0.16974539354008317,0.13563459990101087,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237
shot_offpost_def,-0.03858664596916979,2.4253518475188653e-07,-159097.1058844263,0.0,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
def_gap_std,4.139294838525189e-05,6.993208049106016e-08,591.9021441174398,0.0,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
def_gap_mean,1.1100169029183538e-06,6.437831247149684e-08,17.242093809305857,0.0,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
def_linegap_mean,-7.832872897132109e-05,1.8627817681487854e-05,-4.20493319779286,2.6115928086323237e-05,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
shot_blocked_def,5.4063489001962465e-05,2.1787101406377663e-05,2.481444777511186,0.013085098378040616,468,defense,xG,opp,C,"Significant (p≤0.05, |z|≥1.96)",5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
def_linegap_std,-5.126859165207017e-05,2.209049760732462e-05,-2.320843675113542,0.020295282362615907,474,defense,xG,opp,C,"Significant (p≤0.05, |z|≥1.96)",5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
shot_saved_def,4.660758667955754e-06,2.5702486442937697e-05,0.1813349334237815,0.856104687617653,472,defense,xG,opp,D,Not significant,5.2591440390286004e-06,0.12035324163053263,0.06644245270161074,0.04852210500410314,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237
def_gain_dist,4.787362502793455e-05,6.037612370616572e-08,792.9231306885904,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763007,0.09182539932511628,0.07504777162609907,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571125,-12450.25293151831,237
def_suc_pos_line_box,-1.0228970703250193e-05,2.0166362777041873e-07,-50.72293311560986,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763007,0.09182539932511628,0.07504777162609907,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571125,-12450.25293151831,237
seq_def_num,0.0003705228971860645,2.4655653098051253e-05,15.027908435950135,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763007,0.09182539932511628,0.07504777162609907,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571125,-12450.25293151831,237
def_miss_pos_line,-0.0001313740999530271,9.305097202873282e-06,-14.118509144908304,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763007,0.09182539932511628,0.07504777162609907,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571125,-12450.25293151831,237
def_suc,1.9961294270193224e-07,5.7699375959721075e-08,3.4595338230569173,0.0005411113133086953,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763007,0.09182539932511628,0.07504777162609907,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571125,-12450.25293151831,237
shot_offpost_def,-0.002068275955301106,1.8560031475582983e-07,-11143.709309017431,0.0,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
def_gap_std,5.972330956314711e-05,9.057111535292907e-08,659.4079064878786,0.0,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
def_gap_mean,2.6713470603113564e-06,6.694697129295301e-08,39.902433354629565,0.0,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
def_linegap_mean,0.0001067722175758001,1.9764766395935425e-05,5.40214923044866,6.584713285739952e-08,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
shot_blocked_def,-0.00010758006362058948,2.3468632481587784e-05,-4.583993707557991,4.5617797042041275e-06,468,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
def_linegap_std,-9.404454780931142e-05,2.469134842992297e-05,-3.8088056663337446,0.00013963964918928262,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
shot_saved_def,-2.2514508286961953e-05,2.709412826952435e-05,-0.8309737099859535,0.40598848126426157,472,defense,xT,opp,D,Not significant,1.710746418800032e-06,0.08973742503417928,0.06297761182085351,0.06719176599779945,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237
def_gain_dist,4.009870083208726e-05,5.470363703224995e-08,733.0170900418832,0.0,474,defense,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",6.366449563407342e-05,0.10880893625985548,0.08162995957758314,0.09567613125832497,3138510.367920301,-6270384.735840602,-6249796.833059566,6621.329890127217,-13228.659780254435,-13185.225386201617,237
def_suc_pos_line_box,-1.531040845305219e-05,2.2760084672564127e-07,-67.26867967898178,0.0,474,defense,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",6.366449563407342e-05,0.10880893625985548,0.08162995957758314,0.09567613125832497,3138510.367920301,-6270384.735840602,-6249796.833059566,6621.329890127217,-13228.659780254435,-13185.225386201617,237
seq_def_num,0.0004155393017978815,3.3522791745134036e-05,12.395724823789434,0.0,474,defense,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",6.366449563407342e-05,0.10880893625985548,0.08162995957758314,0.09567613125832497,3138510.367920301,-6270384.735840602,-6249796.833059566,6621.329890127217,-13228.659780254435,-13185.225386201617,237
def_miss_pos_line,-0.00014069645776888573,1.1547654020082244e-05,-12.183986247267535,0.0,474,defense,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",6.366449563407342e-05,0.10880893625985548,0.08162995957758314,0.09567613125832497,3138510.367920301,-6270384.735840602,-6249796.833059566,6621.329890127217,-13228.659780254435,-13185.225386201617,237
def_suc,1.6092375376678827e-07,5.049340388890759e-08,3.1870252621677593,0.0014374421932703552,474,defense,xT,self,B,"Strong (p≤0.01,  |z|≥2.58)",6.366449563407342e-05,0.10880893625985548,0.08162995957758314,0.09567613125832497,3138510.367920301,-6270384.735840602,-6249796.833059566,6621.329890127217,-13228.659780254435,-13185.225386201617,237
