metric,n_obs,beta_metric,t_metric,p_metric,delta_interaction,t_delta,p_delta,gamma_status,t_gamma,p_gamma,r2,llf,aic,bic,oos_n_obs,oos_rmse,oos_mae,abs_t_metric,sig_bin,beta_sig,delta_sig,perspective,outcome,sig_group,sig_label
shot_blocked_att,874329,0.39773805786265426,5.971326895540105,2.353316705567362e-09,0.33129498188019507,1.3012443259149793,0.19317483727448193,0.01634298098786377,2.40342953464996,0.01624209693740147,0.0009552259263871932,377657.96160173044,-755307.9232034609,-755261.1983554048,200264,0.14992156593048458,0.09161352570016534,5.971326895540105,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
break_line_suc,874329,0.007032901049862065,5.664257300984523,1.4766269511876335e-08,0.003919287593180665,0.7735957653018729,0.4391698771106506,0.016243068153599733,2.4062341659375748,0.016117929685554484,0.0009309341445624675,377647.33207256556,-755286.6641451311,-755239.939297075,200264,0.14992614115542807,0.09162040251035102,5.664257300984523,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
seq_event_num,866708,0.006159043817411933,5.224365756627809,1.7475305341488307e-07,-0.0007241059489277789,-0.20711646722223517,0.8359189019442148,0.016632782717112566,2.6087235319613464,0.009088063392561387,0.002536691614906883,376877.8335594449,-753747.6671188897,-753700.9772892678,198586,0.14963379795749202,0.09143991446487429,5.224365756627809,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_saved_att,874329,0.5238058070977553,5.187965512706431,2.1260396273563942e-07,-0.11762963692682436,-0.9240150483471481,0.3554784809472643,0.016374059997609665,2.411387497711601,0.015891953893108844,0.0014818786922669025,377888.47639444354,-755768.9527888871,-755722.227940831,200264,0.14982748195899456,0.09158808001432901,5.187965512706431,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
seq_duration,866708,0.005741469581022332,4.836581549348949,1.3209109462463096e-06,-0.0012941005566818736,-0.37587223217678484,0.70701188485799,0.017223898982967296,2.75877320243468,0.0058018785531288725,0.0021343234734765293,376703.0575227691,-753398.1150455382,-753351.4252159162,198586,0.1496663729574791,0.09148017355239886,4.836581549348949,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
box_pass_try,874329,0.0055699091670425825,3.463386198652315,0.000533422180492333,0.015055148456932633,2.668085201806442,0.007628491006320476,0.016215082394750908,2.389091490582637,0.016890095677404043,0.0008871373165436625,377628.1682335036,-755248.3364670072,-755201.6116189511,200264,0.14993105790386982,0.0916197632984013,3.463386198652315,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,**,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
zone14_pass_try,874329,-0.015483532325135822,-6.94727418968537,3.724114731148656e-12,-0.00034149451890739483,-0.057521937930606094,0.9541294310974102,0.01637163836628726,2.4081035414904357,0.016035632399947767,0.0009154353651985581,377640.55029559904,-755273.1005911981,-755226.375743142,200264,0.1499271839990217,0.09161556656386487,6.94727418968537,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
break_line_try,874329,-0.020013950749034136,-11.904099398972393,1.126731683466526e-32,0.005176197912780721,1.3123685277647135,0.1893958205138112,0.01629601399208271,2.393242952016682,0.016700178627179277,0.0011416870764099363,377739.56135116634,-755471.1227023327,-755424.3978542766,200264,0.1499068926572595,0.09158504210627862,11.904099398972393,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_offpost_att,874329,0.3267904310888904,2.7626677778779083,0.005733108802880394,-0.17574223738244882,-1.3886830604644254,0.164929147451936,0.016408743979428347,2.4145350185926766,0.01575530838759024,0.0010932518324187068,377718.3634939655,-755428.726987931,-755382.0021398749,200264,0.14991873342792345,0.09162289166924645,2.7626677778779083,B) 강하게 유의 (|t|≥2.58 & p≤0.01),**,,attack,xG,B,"Strong (p<=0.01, |t|>=2.58)"
zone14_pass_suc,874329,0.024514658559962287,10.914489073009305,9.828035047127715e-28,-0.003466744782281065,-0.45293403445194036,0.6505962425641102,0.007267192851174793,1.1554637948072648,0.2479005506030164,0.0008310135990610146,664190.1447023673,-1328372.2894047345,-1328325.5645566785,200264,0.10872894466607194,0.08141619483180454,10.914489073009305,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
